epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1318.93,0.76868,0.61152,1.05851,0.89978,0.74545,0.82789,0.51624,1.27315,0.71145,1.34382,0.000351734,0.000351734,0.000351734
43,1348.31,0.76515,0.59523,1.05289,0.8838,0.75933,0.82676,0.54309,1.19093,0.70255,1.28657,0.000342899,0.000342899,0.000342899
44,1377.8,0.75824,0.59473,1.04871,0.8897,0.76575,0.83486,0.53385,1.23171,0.67955,1.33582,0.000334063,0.000334063,0.000334063
45,1407.35,0.74759,0.58326,1.04243,0.89479,0.76051,0.82141,0.52528,1.26208,0.71517,1.34206,0.000325227,0.000325227,0.000325227
46,1436.93,0.75233,0.58992,1.04969,0.87107,0.75843,0.82458,0.52818,1.22561,0.70686,1.32817,0.000316391,0.000316391,0.000316391
47,1466.26,0.74696,0.57928,1.04116,0.88933,0.77947,0.84135,0.53492,1.18953,0.69161,1.30095,0.000307555,0.000307555,0.000307555
48,1495.56,0.73401,0.57217,1.03813,0.89543,0.76268,0.82658,0.55321,1.14894,0.67942,1.29022,0.00029872,0.00029872,0.00029872
49,1524.89,0.72443,0.56196,1.03385,0.88583,0.76364,0.83899,0.54816,1.167,0.66258,1.28801,0.000289884,0.000289884,0.000289884
50,1554.22,0.72583,0.5596,1.0304,0.92096,0.75669,0.83407,0.54939,1.18929,0.69136,1.29435,0.000281048,0.000281048,0.000281048
51,1583.5,0.72263,0.55848,1.03026,0.90937,0.75341,0.83723,0.54888,1.20689,0.67776,1.30918,0.000272212,0.000272212,0.000272212
52,1612.82,0.71525,0.55318,1.029,0.94669,0.74443,0.83499,0.5524,1.21306,0.68482,1.31452,0.000263377,0.000263377,0.000263377
53,1642.07,0.71109,0.54828,1.02518,0.92115,0.76192,0.8444,0.55494,1.16695,0.65992,1.28518,0.000254541,0.000254541,0.000254541
54,1671.48,0.71832,0.54613,1.02177,0.92441,0.77057,0.83842,0.55114,1.19579,0.65618,1.30404,0.000245705,0.000245705,0.000245705
55,1700.75,0.70533,0.53825,1.02203,0.92142,0.76832,0.83294,0.55279,1.17252,0.65857,1.28914,0.000236869,0.000236869,0.000236869
56,1730.36,0.70327,0.53857,1.01925,0.929,0.76436,0.8366,0.55603,1.14976,0.66475,1.28732,0.000228034,0.000228034,0.000228034
57,1759.75,0.68964,0.5279,1.01466,0.93005,0.75134,0.83745,0.55065,1.17588,0.6507,1.29686,0.000219198,0.000219198,0.000219198
58,1789.2,0.69382,0.52732,1.01512,0.91894,0.7666,0.83756,0.56483,1.13562,0.64425,1.24937,0.000210362,0.000210362,0.000210362
59,1818.43,0.68405,0.52295,1.00994,0.93616,0.76537,0.83734,0.55646,1.1743,0.64024,1.29953,0.000201527,0.000201527,0.000201527
60,1847.97,0.6818,0.51972,1.00833,0.91231,0.78473,0.84158,0.56375,1.12988,0.62385,1.26611,0.000192691,0.000192691,0.000192691
61,1877.47,0.67928,0.51695,1.00746,0.92408,0.77483,0.83708,0.56154,1.12628,0.64058,1.26426,0.000183855,0.000183855,0.000183855
62,1906.95,0.66553,0.50849,1.00632,0.91002,0.78715,0.83988,0.55723,1.16911,0.62782,1.30434,0.000175019,0.000175019,0.000175019
63,1936.32,0.67191,0.50793,1.00222,0.94063,0.79058,0.84905,0.56025,1.12946,0.62591,1.26147,0.000166183,0.000166183,0.000166183
64,1965.74,0.66678,0.50212,1.0002,0.93218,0.77941,0.84709,0.56944,1.14848,0.61751,1.27906,0.000157348,0.000157348,0.000157348
65,1995.2,0.65844,0.49564,0.99773,0.93422,0.78536,0.84293,0.55236,1.17007,0.6296,1.2929,0.000148512,0.000148512,0.000148512
66,2024.71,0.65751,0.49419,0.99626,0.92104,0.78791,0.85202,0.57925,1.11126,0.59487,1.2464,0.000139676,0.000139676,0.000139676
67,2054.35,0.64824,0.48745,0.99165,0.9346,0.78288,0.8507,0.57618,1.13362,0.6006,1.26728,0.000130841,0.000130841,0.000130841
68,2083.84,0.65793,0.4915,0.99502,0.91396,0.79081,0.85187,0.58266,1.07633,0.60022,1.23531,0.000122005,0.000122005,0.000122005
69,2113.27,0.6449,0.48152,0.98681,0.92528,0.78704,0.85041,0.56728,1.1563,0.60197,1.28346,0.000113169,0.000113169,0.000113169
70,2142.76,0.63023,0.4748,0.98399,0.92772,0.78771,0.85085,0.57931,1.10492,0.60109,1.24615,0.000104333,0.000104333,0.000104333
71,2205.27,0.6409,0.41854,0.97975,0.92107,0.79543,0.85233,0.58412,1.08923,0.60044,1.23111,9.54975e-05,9.54975e-05,9.54975e-05
72,2233.91,0.62047,0.40059,0.96637,0.90021,0.7989,0.84991,0.57221,1.11434,0.61207,1.25885,8.66618e-05,8.66618e-05,8.66618e-05
73,2262.56,0.61667,0.39807,0.96534,0.93014,0.78479,0.84729,0.58401,1.0858,0.59528,1.23181,7.7826e-05,7.7826e-05,7.7826e-05
74,2291.16,0.60974,0.39448,0.96291,0.94594,0.78108,0.85292,0.59156,1.07591,0.59158,1.21282,6.89903e-05,6.89903e-05,6.89903e-05
75,2319.95,0.60434,0.39007,0.9616,0.93299,0.79017,0.85577,0.58905,1.09228,0.59087,1.23121,6.01545e-05,6.01545e-05,6.01545e-05
76,2348.73,0.59547,0.38151,0.95558,0.93237,0.79173,0.85489,0.58795,1.09437,0.59035,1.23562,5.13187e-05,5.13187e-05,5.13187e-05
77,2377.52,0.58419,0.37554,0.9477,0.9299,0.78989,0.8559,0.59224,1.09767,0.5887,1.237,4.2483e-05,4.2483e-05,4.2483e-05
78,2406.25,0.58625,0.37688,0.94979,0.91916,0.80075,0.85886,0.59485,1.07436,0.57947,1.22645,3.36472e-05,3.36472e-05,3.36472e-05
79,2435.19,0.58019,0.37406,0.94821,0.92038,0.79626,0.85452,0.59033,1.07633,0.58009,1.23038,2.48115e-05,2.48115e-05,2.48115e-05
80,2463.91,0.57867,0.37076,0.94374,0.92979,0.7907,0.85499,0.59035,1.07925,0.58093,1.23068,1.59757e-05,1.59757e-05,1.59757e-05
