epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1529.81,0.80778,0.65645,1.0805,0.91535,0.71139,0.81219,0.50042,1.34963,0.75781,1.41306,0.000569094,0.000569094,0.000569094
43,1567.65,0.81536,0.64545,1.08093,0.91781,0.74891,0.81878,0.50208,1.33574,0.7613,1.38763,0.000565559,0.000565559,0.000565559
44,1605.37,0.80118,0.64238,1.07177,0.89075,0.74822,0.81252,0.50205,1.30674,0.75228,1.38988,0.000562025,0.000562025,0.000562025
45,1643.58,0.79075,0.63085,1.06907,0.91133,0.71734,0.8049,0.50478,1.28935,0.79551,1.36466,0.000558491,0.000558491,0.000558491
46,1682.29,0.79395,0.63843,1.07157,0.90706,0.74649,0.81065,0.51411,1.28809,0.78357,1.35241,0.000554956,0.000554956,0.000554956
47,1720.21,0.78877,0.62718,1.06498,0.88143,0.73334,0.80685,0.51227,1.24941,0.74613,1.34345,0.000551422,0.000551422,0.000551422
48,1756.97,0.78141,0.625,1.06377,0.8942,0.75483,0.81232,0.52566,1.19827,0.71795,1.30975,0.000547888,0.000547888,0.000547888
49,1793.61,0.7767,0.62069,1.06352,0.89908,0.75896,0.81786,0.49812,1.30467,0.74651,1.36997,0.000544354,0.000544354,0.000544354
50,1829.1,0.77586,0.61049,1.05796,0.90845,0.74295,0.80876,0.51142,1.28089,0.74958,1.36795,0.000540819,0.000540819,0.000540819
51,1864.74,0.77849,0.61436,1.05938,0.91362,0.75257,0.81683,0.50048,1.32488,0.7249,1.38944,0.000537285,0.000537285,0.000537285
52,1900.28,0.76748,0.61003,1.05576,0.90058,0.7606,0.8131,0.51218,1.28561,0.74557,1.3768,0.000533751,0.000533751,0.000533751
53,1935.95,0.76867,0.61038,1.05541,0.88298,0.76593,0.81986,0.53289,1.20686,0.7266,1.30568,0.000530216,0.000530216,0.000530216
54,1971.62,0.78091,0.60212,1.05522,0.85715,0.77387,0.82259,0.52489,1.2892,0.736,1.34956,0.000526682,0.000526682,0.000526682
55,2007.24,0.75767,0.59559,1.05063,0.91739,0.72512,0.80891,0.52717,1.23603,0.74951,1.31567,0.000523148,0.000523148,0.000523148
56,2042.82,0.75891,0.59369,1.04636,0.89914,0.75233,0.82278,0.51725,1.28964,0.75135,1.36461,0.000519613,0.000519613,0.000519613
57,2081.47,0.75336,0.5871,1.04587,0.88605,0.76002,0.82338,0.52279,1.24003,0.70553,1.33903,0.000516079,0.000516079,0.000516079
58,2119.37,0.74985,0.58355,1.04431,0.89754,0.73571,0.82039,0.54199,1.19187,0.71234,1.28842,0.000512545,0.000512545,0.000512545
59,2158.86,0.74072,0.58101,1.0403,0.8885,0.75961,0.81868,0.51103,1.27875,0.73998,1.3514,0.000509011,0.000509011,0.000509011
